name	code
대관령	10011100
영월	10021121
제천	10031221
충주	10041127
원주	10061114
양평	10071202
이천	10071203
인제	10121211
춘천	10131101
홍천	10141212
서울	10181108
철원	10221095
동두천	10221098
파주	10231099
수원	11011119
인천	12011112
강화	12011201
속초	13011090
북강릉	13021104
강릉	13021105
동해	13021106
태백	20011216
봉화	20011271
안동	20031136
영주	20041272
문경	20051273
상주	20061137
의성	20081278
구미	20111279
대구	20121143
영천	20121281
거창	20151284
합천	20161285
산청	20181289
진주	20191192
밀양	20211288
울산	22011152
부산	23021159
울진	24011130
영덕	24011277
포항	24021138
남해	25021295
거제	25031294
창원	25041155
통영	25041162
장수	30011248
금산	30041238
추풍령	30051135
보은	30071226
대전	30091133
청주	30111131
부여	30121236
천안	31011232
서산	32021129
군산	32031140
보령	32031235
전주	33011146
정읍	33021245
부안	33031243
임실	40011244
남원	40051247
완도	41021170
순천	41041174
고흥	41041262
여수	41051168
광주	50011156
장흥	51011260
진도	52011175
해남	52021261
고창군	53011251
목포	53021165
흑산도	53031169
고산	60011185
제주	60021184
서귀포	60031189
성산	60041188
