번호	표고 (m)	누가내용적
1	1.9	0
2	2	5.9
3	2.1	17.7
4	2.2	29.5
5	2.3	41.3
6	2.4	96.2
7	2.5	194.2
8	2.6	282.2
9	2.7	1,568.20
10	2.8	4,179.90
11	2.9	7,276.00
12	3	10,698.40
13	3.1	14,946.40
14	3.2	20,190.70
15	3.3	26,870.90
16	3.4	35,307.40
17	3.5	44,283.80
18	3.6	53,309.40
19	3.7	62,798.20
20	3.8	72,784.30
21	3.9	84,448.30
22	4	99,657.40
23	4.1	116,824.30
24	4.2	134,162.60
25	4.3	151,790.00
26	4.4	169,674.50
27	4.5	189,688.10
28	4.6	212,497.80
29	4.7	236,403.00
30	4.8	261,255.00
31	4.9	287,773.10
32	5	316,445.90
33	5.1	347,863.80
34	5.2	384,648.30
35	5.3	429,699.40
36	5.4	484,698.30
37	5.5	551,014.80
38	5.6	629,271.50
39	5.7	721,915.50
40	5.8	832,180.50
41	5.9	958,594.00
42	6	1,099,429.90
43	6.1	1,253,546.60
44	6.2	1,420,485.10
45	6.3	1,601,002.60
46	6.4	1,793,312.10
47	6.5	1,996,439.90
48	6.6	2,209,819.50
49	6.7	2,431,824.00
50	6.8	2,663,160.50
51	6.9	2,904,004.50
52	7	3,153,316.00
53	7.1	3,410,079.80
54	7.2	3,672,536.30
55	7.3	3,940,524.30
56	7.4	4,213,680.00
57	7.5	4,490,830.00
58	7.6	4,770,596.50
59	7.7	5,052,337.00
60	7.8	5,335,361.50
61	7.9	5,619,420.50
62	8	5,904,898.00
63	8.1	6,191,076.50
64	8.2	6,477,437.50
65	8.3	6,764,866.50
66	8.4	7,053,545.00
67	8.5	7,342,488.00
68	8.6	7,631,449.50
69	8.7	7,920,408.50
70	8.8	8,209,533.50
71	8.9	8,499,115.00
72	9	8,789,078.00
73	9.1	9,079,152.00
74	9.2	9,369,251.00
75	9.3	9,659,352.00
76	9.4	9,949,451.00
77	9.5	10,239,553.00
78	9.6	10,529,654.00
79	9.7	10,819,935.00
80	9.8	11,110,401.00
81	9.9	11,400,864.00
82	10	11,691,330.00
83	10.1	11,981,819.00
84	10.2	12,272,329.00
