번호	표고 (m)	누가내용적
1	2.3	0
2	2.4	546
3	2.5	1,456
4	2.6	2,730
5	2.7	4,368
6	2.8	6,370
7	2.9	8,736
8	3	11,466
9	3.1	14,579
10	3.2	18,334
11	3.26	21,156
12	3.3	25,026
13	3.4	39,770
14	3.5	56,214
15	3.6	73,958
16	3.7	91,924
17	3.8	110,268
18	3.9	129,446
19	4	152,133
20	4.1	185,886
21	4.2	247,628
22	4.3	352,926
23	4.4	504,535
24	4.5	692,558
25	4.6	906,666
26	4.7	1,137,444
27	4.8	1,375,295
28	4.9	1,617,186
29	5	1,860,534
30	5.1	2,106,830
31	5.2	2,356,388
32	5.3	2,606,690
33	5.4	2,858,609
34	5.5	3,112,139
35	5.6	3,365,966
36	5.7	3,619,982
37	5.8	3,874,173
38	5.9	4,133,338
39	6.2	4,925,673
40	7.7	8,888,715
