번호	표고 (m)	누가내용적
1	26.1	0
2	26.2	92
3	26.3	246
4	26.4	530
5	26.5	979
6	26.6	1,527
7	26.7	2,147
8	26.8	2,877
9	26.9	3,772
10	27	5,341
11	27.1	8,036
12	27.2	11,645
13	27.3	17,009
14	27.4	24,867
15	27.5	34,369
16	27.6	45,483
17	27.7	59,427
18	27.8	77,676
19	27.9	101,265
20	28	132,925
21	28.1	170,822
22	28.2	210,954
23	28.3	253,233
24	28.4	297,035
25	28.5	342,670
26	28.6	390,726
27	28.7	440,723
28	28.8	492,604
29	28.9	546,579
30	29	602,690
31	29.1	661,297
32	29.2	722,598
33	29.3	786,622
34	29.4	853,345
35	29.5	922,274
36	29.6	992,347
37	29.7	1,063,100
38	29.8	1,134,650
39	29.9	1,207,818
40	30	1,283,471
41	30.1	1,361,946
42	30.2	1,443,473
43	30.3	1,526,676
44	30.4	1,610,661
45	30.5	1,695,457
46	30.6	1,780,545
47	30.7	1,865,961
48	30.8	1,951,600
49	30.9	2,037,303
50	31	2,123,070
51	31.1	2,208,865
52	31.2	2,294,660
53	31.3	2,380,491
54	31.4	2,466,359
55	31.5	2,552,228
56	31.6	2,638,096
57	31.7	2,723,964
58	31.8	2,809,833
59	31.9	2,895,701
60	32	2,981,569
61	32.1	3,067,438
62	32.2	3,153,306
63	32.3	3,239,174
64	32.4	3,325,042
65	32.5	3,410,911
66	32.6	3,496,779
67	32.7	3,582,647
68	32.8	3,668,516
69	32.9	3,754,384
70	33	3,840,252
71	33.1	3,926,121
72	33.2	4,011,989
73	33.3	4,097,857
74	33.4	4,183,725
75	33.5	4,269,594
76	33.6	4,355,462
77	33.7	4,441,330
78	33.8	4,527,207
79	33.9	4,613,091
