번호	표고 (m)	누가내용적
1	51.3	0
2	51.4	77
3	51.5	205
4	51.6	406
5	51.7	676
6	51.8	989
7	51.9	1,345
8	52	1,748
9	52.1	2,181
10	52.2	2,621
11	52.3	3,069
12	52.4	3,525
13	52.5	3,988
14	52.6	4,463
15	52.7	5,531
16	52.8	7,623
17	52.9	10,686
18	53	15,219
19	53.1	21,283
20	53.2	27,959
21	53.3	34,860
22	53.4	41,989
23	53.5	49,144
24	53.6	56,516
25	53.7	64,298
26	53.8	72,291
27	53.9	80,301
28	54	88,574
29	54.1	97,120
30	54.2	105,906
31	54.3	114,952
32	54.4	124,066
33	54.5	133,469
34	54.6	143,160
35	54.7	152,908
36	54.8	162,711
37	54.9	172,676
38	55	183,084
39	55.1	193,811
40	55.2	204,553
41	55.3	215,309
42	55.4	226,079
43	55.5	236,864
44	55.6	247,659
45	55.7	258,952
46	55.8	270,742
47	55.9	282,539
48	56	294,471
49	56.1	306,537
50	56.2	318,607
51	56.3	330,682
52	56.4	342,957
53	56.5	355,434
54	56.6	367,915
55	56.7	380,400
56	56.8	392,889
57	56.9	405,383
58	57	418,052
59	57.1	430,896
60	57.2	443,744
61	57.3	456,597
62	57.4	469,454
63	57.5	482,315
64	57.6	495,180
65	57.7	508,049
66	57.8	520,923
67	57.9	533,800
