시간	관측수위
0	2.222
1	2.252
2	2.282
3	2.322
4	2.362
5	2.402
6	2.442
7	2.492
8	2.552
9	2.622
10	2.712
11	2.822
12	2.982
13	3.222
14	3.482
15	3.752
16	4.022
17	4.302
18	4.582
19	4.882
20	5.152
21	5.402
22	5.632
23	5.842
24	6.042
25	6.222
26	6.382
27	6.532
28	6.672
29	6.792
30	6.912
31	7.012
32	7.042
33	7.042
34	7.282
35	7.372
36	7.462
37	7.542
38	7.632
39	7.722
40	7.802
41	7.882
42	7.962
43	8.042
44	8.132
45	8.232
46	8.332
47	8.432
48	8.532
49	8.622
50	8.702
51	8.772
52	8.832
53	8.882
54	8.922
55	8.962
56	8.982
57	9.002
58	9.012
59	9.022
60	9.022
61	9.022
62	9.022
63	9.022
64	9.012
65	9.002
66	8.992
67	8.972
68	8.952
69	8.942
70	8.922
71	8.902
72	8.882
73	8.862
74	8.842
75	8.822
76	8.812
77	8.782
78	8.762
79	8.732
80	8.702
81	8.672
82	8.632
83	8.592
84	8.542
85	8.502
86	8.452
87	8.392
88	8.342
89	8.282
90	8.222
91	8.152
92	8.092
93	8.022
94	7.942
95	7.872
96	7.792
97	7.722
98	7.642
99	7.572
100	7.502
101	7.422
102	7.352
103	7.282
104	7.202
105	7.132
106	7.052
107	6.972
108	6.892
109	6.822
110	6.742
111	6.672
112	6.592
113	6.522
114	6.442
115	6.372
116	6.302
117	6.222
118	6.152
119	6.072
120	5.992
121	5.922
122	5.842
123	5.762
124	5.692
125	5.622
126	5.552
127	5.482
128	5.412
129	5.342
130	5.272
131	5.202
132	5.132
133	5.072
134	5.002
135	4.932
136	4.872
137	4.802
138	4.742
139	4.682
140	4.622
141	4.562
142	4.502
143	4.432
144	4.372
145	4.312
146	4.252
147	4.192
148	4.142
